space_type,label,massing,occupancy_ft2_per_person,people_sensible_btu_h,lighting_w_per_ft2,misc_equip_w_per_ft2,it_equip_w_per_ft2,source_occupancy,source_people_sensible,source_lighting,source_misc_equip,source_it_equip,notes
office-small,Small Office,office,200,200,0.64,0.63,0,"PNNL prototype scorecards, 90.1-2004 models (OfficeSmall)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (OfficeSmall)",No published default exists — pick an IT space type or enter a value,
office-medium,Medium Office,office,200,200,0.64,1.061,0,"PNNL prototype scorecards, 90.1-2004 models (OfficeMedium)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (OfficeMedium)",No published default exists — pick an IT space type or enter a value,
office-large,Large Office,office,200,200,0.64,0.731,0,"PNNL prototype scorecards, 90.1-2004 models (OfficeLarge)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (OfficeLarge)",No published default exists — pick an IT space type or enter a value,
retail-standalone,Standalone Retail,civic,78,200,0.84,0.485,0,"PNNL prototype scorecards, 90.1-2004 models (RetailStandalone)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (RetailStandalone)",No published default exists — pick an IT space type or enter a value,
retail-stripmall,Strip Mall,civic,67,200,0.84,0.399,0,"PNNL prototype scorecards, 90.1-2004 models (RetailStripmall)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (RetailStripmall)",No published default exists — pick an IT space type or enter a value,
school-primary,Primary School,school,47,200,0.72,1.131,0,"PNNL prototype scorecards, 90.1-2004 models (SchoolPrimary)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (SchoolPrimary)",No published default exists — pick an IT space type or enter a value,
school-secondary,Secondary School,school,33,200,0.72,1.024,0,"PNNL prototype scorecards, 90.1-2004 models (SchoolSecondary)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (SchoolSecondary)",No published default exists — pick an IT space type or enter a value,
healthcare-outpatient,Outpatient Healthcare,office,86,200,0.81,1.789,0,"PNNL prototype scorecards, 90.1-2004 models (OutPatientHealthCare)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (OutPatientHealthCare)",No published default exists — pick an IT space type or enter a value,
hospital,Hospital,lab,312,200,0.81,1.335,0,"PNNL prototype scorecards, 90.1-2004 models (Hospital)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (Hospital)",No published default exists — pick an IT space type or enter a value,
laboratory,Laboratory,lab,312,200,0.91,1.335,0,"PNNL prototype scorecards, 90.1-2004 models (Hospital)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (Hospital)",No published default exists — pick an IT space type or enter a value,"Hospital equipment on an office schedule: similar benches and plant, ordinary business hours. PNNL publishes no laboratory prototype."
hotel-small,Small Hotel,multifamily,140,200,0.56,0.947,0,"PNNL prototype scorecards, 90.1-2004 models (HotelSmall)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (HotelSmall)",No published default exists — pick an IT space type or enter a value,
hotel-large,Large Hotel,multifamily,76,200,0.56,0.967,0,"PNNL prototype scorecards, 90.1-2004 models (HotelLarge)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (HotelLarge)",No published default exists — pick an IT space type or enter a value,
warehouse,Warehouse,home,466,250,0.45,0.194,0,"PNNL prototype scorecards, 90.1-2004 models (Warehouse)",ASHRAE Handbook Fundamentals,ASHRAE 90.1 Building Area Method,"PNNL prototype scorecards, 90.1-2004 models (Warehouse)",No published default exists — pick an IT space type or enter a value,"Drawn with the single-family shed: the closest shape in the massing set, not a likeness."
