space_type,category,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,source,notes
assembly,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
assembly,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
assembly,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
assembly,it_equip,,,,,,,,,,,,,,,,,,,,,,,,,,IT runs flat. Change only for a space that genuinely powers down.
healthcare,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
healthcare,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
healthcare,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
healthcare,it_equip,,,,,,,,,,,,,,,,,,,,,,,,,,IT runs flat. Change only for a space that genuinely powers down.
hotel,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
hotel,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
hotel,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
hotel,it_equip,,,,,,,,,,,,,,,,,,,,,,,,,,IT runs flat. Change only for a space that genuinely powers down.
manufacturing,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
manufacturing,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
manufacturing,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
manufacturing,it_equip,,,,,,,,,,,,,,,,,,,,,,,,,,IT runs flat. Change only for a space that genuinely powers down.
office,occupancy,0,0,0,0,0,0,0,0.1,0.5,0.95,0.95,0.95,0.5,0.95,0.95,0.95,0.95,0.5,0.1,0.05,0,0,0,0,"PLACEHOLDER — the profile the tool ships today, not a sourced one","Weekday, fractions 0–1. This is the shape the tool uses for EVERY type today."
office,lighting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.3,0.05,0.05,0.05,0.05,"PLACEHOLDER — the profile the tool ships today, not a sourced one",Night floor is load-bearing — a zero here flatters the building. This is the shape the tool uses for EVERY type today.
office,misc_equip,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.45,0.35,0.35,0.35,0.35,"PLACEHOLDER — the profile the tool ships today, not a sourced one",Night floor is load-bearing — a zero here flatters the building. This is the shape the tool uses for EVERY type today.
office,it_equip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PLACEHOLDER — the profile the tool ships today, not a sourced one",IT runs flat. Change only for a space that genuinely powers down. This is the shape the tool uses for EVERY type today.
restaurant,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
restaurant,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
restaurant,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
restaurant,it_equip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
retail,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
retail,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
retail,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
retail,it_equip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
school,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
school,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
school,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
school,it_equip,,,,,,,,,,,,,,,,,,,,,,,,,,IT runs flat. Change only for a space that genuinely powers down.
warehouse,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
warehouse,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
warehouse,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
warehouse,it_equip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
residential-single,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
residential-single,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
residential-single,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
residential-single,it_equip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
residential-multi,occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,"Weekday, fractions 0–1."
residential-multi,lighting,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
residential-multi,misc_equip,,,,,,,,,,,,,,,,,,,,,,,,,,Night floor is load-bearing — a zero here flatters the building.
